P.s,Item,Condition,Prob-manip,Speaker,statement,response,final,Meaning,Probability
11,24,2,1171,367,1298,1456,750,Indirect,Low
11,25,3,1919,349,1966,1616,1781,Direct,High
11,26,4,2695,444,2641,1965,4848,Direct,Low
11,27,1,2085,272,966,1493,2560,Indirect,High
11,28,2,2092,581,968,1299,2759,Indirect,Low
12,1,2,2850,948,237,1562,991,Indirect,Low
12,2,3,1374,570,1555,909,1576,Direct,High
12,3,4,1521,,97,1473,2466,Direct,Low
12,4,1,2034,247,1024,1410,2656,Indirect,High
12,5,2,2876,300,2491,1774,1502,Indirect,Low
12,6,3,1478,168,1071,917,751,Direct,High
12,7,4,2836,496,721,1441,1766,Direct,Low
12,8,1,1116,353,739,691,946,Indirect,High
12,9,2,3653,649,752,1046,2184,Indirect,Low
12,10,3,428,371,1808,909,2441,Direct,High
12,11,4,1221,576,1224,314,1138,Direct,Low
12,12,1,1445,,97,1539,1496,Indirect,High
12,13,2,1708,638,1375,1755,2836,Indirect,Low
12,14,3,1779,682,1038,1719,1188,Direct,High
12,15,4,654,339,1699,1381,403,Direct,Low
12,16,1,1587,226,770,1328,2693,Indirect,High
12,17,2,1797,116,147,1585,1314,Indirect,Low
12,18,3,1725,260,742,1068,1248,Direct,High
12,19,4,2372,,125,1131,1356,Direct,Low
12,20,1,1131,256,873,1490,985,Indirect,High
12,21,2,1527,727,104,1579,779,Indirect,Low
12,22,3,1253,295,865,1062,1182,Direct,High
12,23,4,2600,491,1091,1265,1076,Direct,Low
12,24,1,886,,109,1388,728,Indirect,High
12,25,2,1362,,159,2502,1982,Indirect,Low
12,26,3,1751,403,1642,1194,2029,Direct,High
12,27,4,261,377,708,989,1213,Direct,Low
12,28,1,176,238,997,1357,1989,Indirect,High
13,1,1,2046,885,1355,1613,1375,Indirect,High
13,2,2,301,,150,1684,1429,Indirect,Low
13,3,3,,,,426,96,Direct,High
13,4,4,3169,,165,1481,1599,Direct,Low
13,5,1,1415,404,1269,1020,1213,Indirect,High
13,6,2,1859,,2679,1220,810,Indirect,Low
13,7,3,2700,373,835,1878,1166,Direct,High
13,8,4,3106,640,1306,1124,284,Direct,Low
13,9,1,2949,318,1038,1643,2037,Indirect,High
13,10,2,2694,258,1039,1006,765,Indirect,Low
13,11,3,2505,934,1754,1297,1308,Direct,High
13,12,4,,205,854,908,1960,Direct,Low
13,13,1,2039,184,1354,2393,1882,Indirect,High
13,14,2,1940,323,2789,2164,1515,Indirect,Low
13,15,3,2262,334,1043,1622,1413,Direct,High
13,16,4,2392,482,611,1576,1910,Direct,Low
13,17,1,2619,,719,1343,1091,Indirect,High
13,18,2,1156,292,1576,1470,1182,Indirect,Low
13,19,3,1632,357,2639,633,1031,Direct,High
13,20,4,1196,642,2070,2774,2422,Direct,Low
13,21,1,,218,164,1599,1126,Indirect,High
13,22,2,1372,239,1264,1593,829,Indirect,Low
13,23,3,3563,316,2575,1706,1268,Direct,High
13,24,4,2706,467,1579,1490,381,Direct,Low
13,25,1,935,251,1573,1130,2981,Indirect,High
13,26,2,2288,143,1894,1655,1784,Indirect,Low
13,27,3,361,,278,2219,1307,Direct,High
13,28,4,2319,269,935,1960,2502,Direct,Low
14,1,4,1626,,302,1491,1048,Direct,Low
14,2,1,1509,,1623,1129,1362,Indirect,High
14,3,2,789,,143,2050,1868,Indirect,Low
14,4,3,1193,,1564,924,807,Direct,High
14,5,4,952,,178,939,1175,Direct,Low
14,6,1,1274,101,796,672,776,Indirect,High
14,7,2,450,,1806,664,1111,Indirect,Low
14,8,3,987,,153,1194,388,Direct,High
14,9,4,2088,138,801,905,1297,Direct,Low
14,10,1,111,,463,310,1899,Indirect,High
14,11,2,1324,298,1146,557,,Indirect,Low
14,12,3,2176,,1035,925,1033,Direct,High
14,13,4,1461,,1757,1339,379,Direct,Low
14,14,1,2082,,1162,2251,1194,Indirect,High
14,15,2,2638,,119,1206,784,Indirect,Low
14,16,3,2342,,304,1885,2513,Direct,High
14,17,4,3106,,111,1497,282,Direct,Low
14,18,1,1140,,1190,1070,719,Indirect,High
14,19,2,1649,,746,1641,1171,Indirect,Low
14,20,3,2081,,147,3368,1311,Direct,High
14,21,4,1239,,680,928,749,Direct,Low
14,22,1,944,,986,698,688,Indirect,High
14,23,2,1485,,530,1202,1450,Indirect,Low
14,24,3,772,,692,1040,641,Direct,High
14,25,4,1634,,1449,898,1501,Direct,Low
14,26,1,1341,,1055,1445,1523,Indirect,High
14,27,2,4256,,742,520,835,Indirect,Low
14,28,3,3204,,148,1453,,Direct,High
15,1,3,2098,218,1811,1211,1063,Direct,High
15,2,4,1544,228,1015,1311,1917,Direct,Low
15,3,1,2128,269,1078,1263,2141,Indirect,High
15,4,2,1972,184,1488,2095,1457,Indirect,Low
15,5,3,2095,312,2374,3000,2203,Direct,High
15,6,4,2910,340,880,736,700,Direct,Low
15,7,1,2030,159,811,990,1436,Indirect,High
15,8,2,,,,,,Indirect,Low
15,9,3,2980,238,1456,1351,2729,Direct,High
15,10,4,2463,170,887,355,139,Direct,Low
15,11,1,1761,403,1230,854,2226,Indirect,High
15,12,2,1838,204,864,793,1460,Indirect,Low
15,13,3,1115,196,1434,1574,2776,Direct,High
15,14,4,2142,221,1551,1575,1101,Direct,Low
15,15,1,1917,290,1286,1287,1426,Indirect,High
15,16,2,3292,341,127,1796,2563,Indirect,Low
15,17,3,1557,202,1025,444,1729,Direct,High
15,18,4,1593,,802,1580,1774,Direct,Low
15,19,1,2191,228,2514,1556,1692,Indirect,High
15,20,2,1789,228,1035,1302,1163,Indirect,Low
15,21,3,1250,197,696,1441,936,Direct,High
15,22,4,930,340,719,1064,,Direct,Low
15,23,1,1996,233,336,885,883,Indirect,High
15,24,2,1368,330,1279,1597,1697,Indirect,Low
15,25,3,1368,313,1374,1154,2280,Direct,High
15,26,4,2717,304,2221,1622,2311,Direct,Low
15,27,1,2568,,164,1261,2479,Indirect,High
15,28,2,1116,215,1142,1649,2295,Indirect,Low
16,1,2,1308,322,1120,1405,1270,Indirect,Low
16,2,3,1242,385,1658,1194,2144,Direct,High
16,3,4,1686,,142,1703,1407,Direct,Low
16,4,1,2766,316,1120,1436,1101,Indirect,High
16,5,2,1236,291,1239,1030,926,Indirect,Low
16,6,3,2161,,149,1339,786,Direct,High
16,7,4,1670,300,861,1605,1425,Direct,Low
16,8,1,1441,,955,858,1541,Indirect,High
16,9,2,3244,,139,1075,1550,Indirect,Low
16,10,3,1759,370,1244,432,1091,Direct,High
16,11,4,1688,565,1310,1274,1914,Direct,Low
16,12,1,1318,,256,1348,1508,Indirect,High
16,13,2,1373,519,997,1911,2516,Indirect,Low
16,14,3,2096,,172,1831,1150,Direct,High
16,15,4,155,,464,1698,909,Direct,Low
16,16,1,2317,,188,2164,2275,Indirect,High
16,17,2,1749,,156,2054,1290,Indirect,Low
16,18,3,143,295,836,1261,1132,Direct,High
16,19,4,2095,,230,1034,799,Direct,Low
16,20,1,1718,699,1234,1679,1253,Indirect,High
16,21,2,2930,,163,1311,731,Indirect,Low
16,22,3,1172,,1312,1168,1410,Direct,High
16,23,4,2067,297,1512,1492,991,Direct,Low
16,24,1,4090,,157,2350,702,Indirect,High
16,25,2,1475,195,1624,1103,1964,Indirect,Low
16,26,3,1416,499,1527,1270,3323,Direct,High
16,27,4,1731,350,747,1779,1236,Direct,Low
16,28,1,1904,255,1335,2002,2645,Indirect,High
17,1,1,1421,516,1291,998,2396,Indirect,High
17,2,2,1927,665,2411,1821,3187,Indirect,Low
17,3,3,2313,,181,4179,2510,Direct,High
17,4,4,3410,916,2109,3841,,Direct,Low
17,5,1,1353,531,1405,1548,3207,Indirect,High
17,6,2,3897,908,1960,3605,1631,Indirect,Low
17,7,3,4022,,160,3980,3640,Direct,High
17,8,4,1951,,1515,1287,2226,Direct,Low
17,9,1,2913,716,1220,2204,,Indirect,High
17,10,2,,,,,,Indirect,Low
17,11,3,2317,1830,2524,982,2174,Direct,High
17,12,4,2489,334,1537,2381,2300,Direct,Low
17,13,1,2651,,84,,3382,Indirect,High
17,14,2,3616,,219,3265,2714,Indirect,Low
17,15,3,2204,755,,2102,2237,Direct,High
17,16,4,2687,1051,577,273,421,Direct,Low
17,17,1,2985,,141,2379,2995,Indirect,High
17,18,2,3877,808,2175,2454,,Indirect,Low
17,19,3,2012,887,4145,2123,1156,Direct,High
17,20,4,2385,434,2672,2996,3388,Direct,Low
17,21,1,1992,765,1994,5143,2208,Indirect,High
17,22,2,1947,491,2152,2505,,Indirect,Low
17,23,3,5294,449,2296,2130,2014,Direct,High
17,24,4,976,590,1842,2854,2339,Direct,Low
17,25,1,1310,,1345,1097,1754,Indirect,High
17,26,2,3110,,144,2603,4365,Indirect,Low
17,27,3,208,716,1733,2278,2839,Direct,High
17,28,4,2042,547,1471,3483,3371,Direct,Low
18,1,4,2093,406,1106,2365,1413,Direct,Low
18,2,1,1890,206,1548,727,1107,Indirect,High
18,3,2,1200,198,921,487,1270,Indirect,Low
18,4,3,2088,134,5879,1455,1077,Direct,High
18,5,4,1627,219,872,669,917,Direct,Low
18,6,1,434,112,1520,966,590,Indirect,High
18,7,2,1032,,142,956,2570,Indirect,Low
18,8,3,104,157,474,588,1647,Direct,High
18,9,4,5421,114,929,801,1109,Direct,Low
18,10,1,1539,179,654,482,730,Indirect,High
18,11,2,1767,430,770,729,1020,Indirect,Low
18,12,3,943,214,580,737,825,Direct,High
18,13,4,1326,155,1914,1093,1223,Direct,Low
18,14,1,1428,,118,1249,854,Indirect,High
18,15,2,106,100,1086,1267,666,Indirect,Low
18,16,3,1215,309,723,1021,1388,Direct,High
18,17,4,691,159,605,1560,860,Direct,Low
18,18,1,167,120,568,754,871,Indirect,High
18,19,2,496,143,1184,657,537,Indirect,Low
18,20,3,925,162,790,733,855,Direct,High
18,21,4,1566,371,852,787,546,Direct,Low
18,22,1,953,168,648,758,1454,Indirect,High
18,23,2,2216,220,705,838,621,Indirect,Low
18,24,3,1288,220,844,855,389,Direct,High
18,25,4,1655,134,668,683,1715,Direct,Low
18,26,1,957,194,921,814,2257,Indirect,High
18,27,2,5682,220,325,697,1876,Indirect,Low
18,28,3,,147,505,1446,205,Direct,High
19,1,3,2363,525,1803,1558,1449,Direct,High
19,2,4,2477,599,3108,1301,1129,Direct,Low
19,3,1,3454,754,153,2218,2373,Indirect,High
19,4,2,4324,,127,1809,2098,Indirect,Low
19,5,3,1817,203,1723,1135,2221,Direct,High
19,6,4,234,184,1992,762,1384,Direct,Low
19,7,1,3639,,164,1787,2411,Indirect,High
19,8,2,,,,,,Indirect,Low
19,9,3,5385,,135,1746,3319,Direct,High
19,10,4,3820,415,3138,634,163,Direct,Low
19,11,1,1974,579,1758,1458,3983,Indirect,High
19,12,2,2814,,147,1528,1124,Indirect,Low
19,13,3,2370,140,1407,2366,2094,Direct,High
19,14,4,2756,,374,2143,3742,Direct,Low
19,15,1,1788,290,2580,1786,1543,Indirect,High
19,16,2,2686,327,1918,1890,2197,Indirect,Low
19,17,3,1903,379,320,1738,1160,Direct,High
19,18,4,1985,462,171,1174,598,Direct,Low
19,19,1,3666,,143,1221,2526,Indirect,High
19,20,2,1587,319,1354,1950,1828,Indirect,Low
19,21,3,1628,,127,1181,957,Direct,High
19,22,4,2812,375,1663,1646,1332,Direct,Low
19,23,1,6035,149,202,1407,1660,Indirect,High
19,24,2,1843,,132,1690,1592,Indirect,Low
19,25,3,1539,,2219,1296,2134,Direct,High
19,26,4,2145,298,2012,1757,3103,Direct,Low
19,27,1,3908,437,1116,2077,2214,Indirect,High
19,28,2,1775,,154,2045,2691,Indirect,Low
20,1,2,2883,333,1060,1919,1728,Indirect,Low
20,2,3,1722,457,1625,961,1700,Direct,High
20,3,4,1565,458,1057,2321,2050,Direct,Low
20,4,1,1892,309,635,1507,1239,Indirect,High
20,5,2,1153,484,1955,899,1394,Indirect,Low
20,6,3,1494,,146,1693,1030,Direct,High
20,7,4,2395,413,824,2022,2156,Direct,Low
20,8,1,1874,290,182,1877,574,Indirect,High
20,9,2,2994,362,1037,1325,1697,Indirect,Low
20,10,3,1590,425,2516,1157,1635,Direct,High
20,11,4,2052,821,1197,979,2123,Direct,Low
20,12,1,2455,314,1098,1470,1273,Indirect,High
